Komoditas,Luas Panen Padi,GKP Tingkat Petani,GKP Tingkat Penggilingan,GKG Tingkat Penggilingan,Ratarata Beras Penggilingan,Stok GKG Tingkat Penggilingan,Stok Beras Tingkat Penggilingan,Beras,UMP,BBM Solar,quantity
2021-03-15,10,4000,4150,5050,9465,20,10,11200,1810351,9600,113151
2021-03-16,10,3850,4100,4740,9360,70,20,11200,1810351,9600,113151
2021-03-17,10,4160,4230,4950,9400,30,10,11200,1810351,9600,113151
2021-03-18,10,4120,4190,4730,9340,40,10,11200,1810351,9600,113151
2021-03-19,10,4190,4290,4990,9410,40,10,11200,1810351,9600,113151
2021-03-22,10,4060,4170,4910,9360,60,10,11200,1810351,9600,113151
2021-03-23,20,4060,4170,4770,9350,70,40,11200,1810351,9600,113151
2021-03-24,40,3990,4120,4810,9165,90,50,11200,1810351,9600,113151
2021-03-25,40,3990,4120,4870,9215,90,40,11200,1810351,9600,113151
2021-03-26,50,3950,4120,4850,9375,30,20,11200,1810351,9600,113151
2021-03-29,70,4010,4170,4890,9440,20,10,11200,1810351,9600,113151
2021-03-30,50,3850,4070,4760,9155,150,50,11200,1810351,9600,113151
2021-03-31,50,3850,4100,4760,9120,60,40,11200,1810351,9600,113151
2021-04-01,50,3930,4140,4830,9295,40,20,11200,1810351,9600,113151
2021-04-05,60,3970,4220,4850,9155,30,20,11200,1810351,9600,113151
2021-04-06,60,4040,4240,4830,9255,30,10,11200,1810351,9600,113151
2021-04-07,60,3970,4200,4820,9245,40,20,11200,1810351,9600,113151
2021-04-08,60,3970,4200,4830,9245,40,20,11200,1810351,9600,113151
2021-04-09,70,3970,4260,4840,9230,50,20,11200,1810351,9600,113151
2021-04-12,60,3970,4200,4830,9230,30,10,11200,1810351,9600,113151
2021-04-13,50,3920,4170,4770,9240,70,20,11200,1810351,9600,113151
2021-04-14,60,3980,4240,4850,9290,70,40,11200,1810351,9600,113151
2021-04-15,60,3980,4260,4860,9290,60,30,11200,1810351,9600,113151
2021-04-16,70,4050,4250,4970,9455,20,10,11200,1810351,9600,113151
2021-04-19,80,4020,4300,4900,9355,40,20,11200,1810351,9600,113151
2021-04-20,80,4020,4450,4940,9400,40,20,11200,1810351,9600,113151
2021-04-21,80,4020,4450,4950,9400,40,20,11200,1810351,9600,113151
2021-04-22,80,4100,4490,4970,9360,40,10,11200,1810351,9600,113151
2021-04-23,80,4000,4370,4800,9320,80,40,11200,1810351,9600,113151
2021-04-26,80,3980,4260,4830,9345,40,20,11200,1810351,9600,113151
2021-04-27,70,4120,4370,4960,9195,70,30,11200,1810351,9600,113151
2021-04-28,70,4100,4350,4980,9280,60,30,11200,1810351,9600,113151
2021-04-29,70,4100,4350,4990,9265,60,20,11200,1810351,9600,113151
